state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
NC,North Carolina,Burke,3.9,4.1,11.8,13.7,81.61626678,422.8,12.2,18.8,33.2,47.66,49.96712998,19.4,6.18451836,66.0,39275.0,30.3,3.0,30.1,16400.0,51.06760251,10.9,31.50096541
NC,North Carolina,Cabarrus,3.6,3.6,10.7,15.1,63.05142439,345.0,10.9,18.0,32.5,52.68,67.04000313,15.5,5.645309246,12.0,55250.0,23.6,1.0,16.7,24833.0,40.25477349,9.1,14.89818686
NC,North Carolina,Caldwell,4.0,4.1,12.2,14.3,78.85631651,440.9,12.4,20.8,33.7,57.13,51.75694338,18.5,7.061907983999999,75.0,38653.0,28.0,3.0,27.7,14481.0,50.69545528,10.7,16.70714414
NC,North Carolina,Camden,3.3,3.3,9.7,16.4,43.85090692,287.1,9.3,15.9,30.6,51.39,77.18426501,13.1,5.9896419729999995,6.0,61730.0,24.0,1.0,14.2,33194.0,23.97509082,9.2,16.073753178079997
NC,North Carolina,Carteret,3.6,3.6,10.9,15.6,82.24615440000001,368.1,10.7,17.1,29.3,41.97,65.68024348,14.9,5.975270279,52.0,48824.0,26.0,3.0,24.3,20321.0,34.00673401,10.5,21.47630041
NC,North Carolina,Caswell,3.9,4.1,11.9,13.4,87.84348508,431.5,12.4,19.0,33.0,53.14,46.86407946,19.6,6.9665271970000004,65.0,42730.0,31.9,3.0,29.2,14934.0,60.09062391,13.7,16.073753178079997
NC,North Carolina,Catawba,3.6,3.5,10.9,15.0,76.26589736,392.3,10.7,19.1,30.5,39.31,56.70565656,15.5,6.295370221000001,42.0,45080.0,30.0,2.0,23.2,20929.0,47.28157308,10.2,17.68449566
NC,North Carolina,Chatham,3.6,3.6,11.0,13.5,52.29186908,274.6,11.0,16.2,28.8,34.3,60.60935799999999,16.2,4.6893800269999995,7.0,56797.0,22.5,1.0,21.0,22742.0,41.61938018,11.8,10.42230174
NC,North Carolina,Cherokee,3.9,4.0,12.0,13.4,109.3770646,465.2,12.0,18.5,29.8,49.42,63.36842105,17.1,7.0183444370000005,93.0,34620.0,29.6,4.0,33.0,15916.0,54.38172043,12.3,18.43861784
NC,North Carolina,Chowan,4.1,4.2,12.9,12.0,68.86401383,376.9,13.2,19.8,34.1,49.99,56.28468821,21.3,7.735882457000001,53.0,38887.0,28.1,3.0,36.0,14957.0,55.9704733,14.6,16.073753178079997
NC,North Carolina,Clay,4.0,4.0,12.2,12.8,105.87612490000001,364.2,12.3,18.3,29.6,39.39,53.20954907,17.6,6.397222911,59.0,37072.0,31.6,3.0,30.3,16040.0,49.35064935,12.8,31.46336092
NC,North Carolina,Cleveland,3.9,4.1,12.1,13.7,80.07388915,487.4,12.3,19.9,33.8,51.64,54.74137931,18.5,7.141600704,87.0,39444.0,30.4,4.0,30.8,15319.0,55.69675999,11.4,15.77519659
NC,North Carolina,Columbus,4.2,4.5,13.2,12.6,104.89619429999999,555.3,14.0,22.8,33.8,74.19,57.84143519,23.1,8.332969194,99.0,34321.0,28.2,4.0,35.4,13113.0,58.96631094,13.8,16.8764585
NC,North Carolina,Craven,3.6,3.7,11.0,16.8,63.91092511,391.1,11.2,18.2,31.8,33.26,62.20023744,16.5,6.809509833,48.0,43972.0,28.7,2.0,26.2,20837.0,46.16266523,10.2,14.97917258
NC,North Carolina,Cumberland,4.0,4.0,12.0,15.5,69.93536409,448.2,12.2,21.5,39.9,53.69,70.28829859999999,18.1,7.775343809,80.0,42582.0,26.9,4.0,25.6,20481.0,52.432618554329906,10.8,13.31628848
NC,North Carolina,Currituck,3.5,3.4,10.5,16.4,72.08113318,375.8,10.2,17.8,29.8,48.11,57.86776012,13.9,6.070469526,29.0,58024.0,24.5,2.0,17.2,27018.0,29.58215842,9.4,16.073753178079997
NC,North Carolina,Dare,3.5,3.3,10.3,17.0,74.63643891,326.6,9.8,17.4,27.9,42.69,69.54952858,13.7,8.187872061,22.0,54642.0,26.9,1.0,18.5,28362.0,35.92271293,9.5,22.92351188
NC,North Carolina,Davidson,3.7,3.9,11.3,14.3,67.8809959,416.7,11.5,17.9,30.9,54.98,55.17709826,17.1,6.163777062,63.0,43346.0,31.3,3.0,23.3,19918.0,49.39299341,10.4,19.35804643
NC,North Carolina,Davie,3.6,3.5,10.7,14.8,70.11130775,355.1,10.5,16.0,28.7,48.72,55.45039165,14.9,5.654338548999999,21.0,47592.0,26.7,1.0,21.3,22100.0,38.89746757,10.2,15.27073404
NC,North Carolina,Duplin,4.3,4.7,13.7,12.6,66.64456458,371.4,15.1,21.9,34.2,54.44,43.5078641,26.0,6.2876178220000005,33.0,34109.0,32.2,2.0,37.6,14343.0,64.19635284,14.3,8.33337963
NC,North Carolina,Durham,3.5,3.6,11.3,15.3,51.45152241,319.1,11.3,16.6,32.9,45.64,72.64317706,18.2,4.992746375,10.0,50745.0,20.9,1.0,22.2,21808.0,55.3915944,9.8,8.350401398999999
NC,North Carolina,Edgecombe,4.2,4.6,13.9,11.2,64.91699898,484.3,14.6,21.7,37.8,60.63,47.99497764,25.3,10.128777699999999,91.0,31615.0,33.0,4.0,38.1,14145.0,72.80334728,16.0,16.2200155
NC,North Carolina,Forsyth,3.7,3.8,11.6,14.3,58.7535121,362.0,11.6,18.2,34.3,50.36,64.2493351,19.3,5.8564660029999995,35.0,45944.0,24.3,2.0,27.6,19485.0,49.30271308,11.4,13.55269648
NC,North Carolina,Franklin,3.9,4.0,11.7,14.5,71.04202611,402.9,12.1,19.9,32.6,60.39,54.25755167,18.9,6.156400112999999,54.0,48166.0,28.6,3.0,22.6,19642.0,51.86482821,11.6,12.86208098
NC,North Carolina,Gaston,3.9,3.9,11.8,14.9,76.89561685,454.2,11.8,21.2,36.2,53.88,60.072441000000005,17.1,6.512648861000001,72.0,42056.0,29.6,3.0,23.3,17997.0,50.73518535,10.7,22.90819541
NC,North Carolina,Gates,3.8,3.9,11.7,13.6,58.43364442,343.7,11.8,18.9,35.0,62.93,47.43295019,18.3,5.878951426,11.0,48413.0,31.2,1.0,24.4,21390.0,44.72645234,13.0,16.073753178079997
NC,North Carolina,Graham,4.0,4.0,12.2,14.2,118.59149790000001,474.2,12.1,19.4,29.9,60.49,51.32693394,17.4,11.784425742500002,96.0,33824.0,26.3,4.0,32.8,16031.0,52.37711523,11.4,16.073753178079997
NC,North Carolina,Granville,3.7,3.8,11.2,14.2,61.4065111,359.5,11.3,19.4,33.4,54.93,56.63226432,18.0,5.481852315,26.0,49342.0,28.8,2.0,19.3,22233.0,48.06956522,11.4,14.1074764
NC,North Carolina,Greene,3.9,4.3,12.6,13.5,58.03504568,381.1,13.5,21.7,36.8,66.37,47.90562489,22.7,6.237317099,38.0,37263.0,28.9,2.0,38.2,16762.0,68.10399493,13.1,16.073753178079997
NC,North Carolina,Guilford,3.7,3.5,11.4,15.4,58.33509066,328.6,11.0,18.5,33.4,44.39,68.22931439,16.0,6.397631897999999,16.0,44828.0,22.8,1.0,25.4,19634.0,50.2270222,10.6,9.541934499
NC,North Carolina,Halifax,4.2,4.5,13.7,11.5,76.65207329,512.6,14.3,22.5,37.7,71.83,50.20431991,23.6,9.544828896,97.0,31674.0,34.8,4.0,34.6,12538.0,70.23232065,15.8,13.089902699999998
NC,North Carolina,Harnett,4.0,4.1,12.2,16.0,64.42668682,393.2,12.8,20.2,35.0,78.99,62.60628095,21.2,7.201751335,41.0,45380.0,28.4,2.0,27.3,19922.0,48.6951856,9.9,12.57397241
